epoch,total_loss,bce,kld,val_loss,val_bce,val_kld,beta
1,204.0222961332169,199.4049041373598,923.4782857134298,115.68713691907051,112.31825608473558,673.7757380558894,0.005
2,97.18769630478936,91.54139934141944,564.6297270417945,91.58641756497897,85.83400198129507,575.2415333283253,0.01
3,82.59949947427387,75.53551473793077,470.9323243685295,85.85196157602164,79.24877616686699,440.21233035356573,0.015
4,76.5740640090287,68.40754166117475,408.3261421063195,80.63554851825421,72.44496819911859,409.5289932642228,0.02
5,72.91161692800698,63.64421802356931,370.69594831408165,87.73688487517528,78.1423081618089,383.7830560146234,0.025
6,73.27190923398258,63.01832107824782,341.7862779114144,82.39876184708032,71.83504896897536,352.12374799679486,0.03
7,70.71817596997221,59.627826994913484,316.86710942742286,73.8555669540014,63.00154426770332,310.1149088541667,0.035
8,70.67110555449878,58.753858835419265,297.9311675089269,76.98581049992488,64.75572595840845,305.7521190154247,0.04
9,70.78368733411918,58.10913928447326,281.6566079730637,74.3895975748698,61.84574890136719,278.75218474559296,0.045
10,69.82980370082738,56.538799636934435,265.8200782822685,73.47738490960536,60.10509041028145,267.4458962464944,0.05
11,69.32439310272778,55.43023932053268,252.6209711180143,78.4970945700621,64.65456449068509,251.68236052684296,0.055
12,69.26033488080546,54.88714873425068,239.5531142533191,73.919920701247,59.65109683305789,237.81373635316507,0.06
13,69.97130781302423,55.051235175571556,229.53958813251893,75.93014252491487,60.634574694511215,235.31644537510016,0.065
14,70.19172022532831,54.87856175709356,218.75940989862923,73.69762361966647,58.50698735163762,217.00909110827322,0.07
15,70.16689740514462,54.53902589762869,208.37161610609184,73.20643341846956,57.65548588679387,207.34595039563303,0.075
16,69.76985252708013,53.88958948521526,198.50329140505175,74.17698825933995,58.51119173490084,195.82245655548877,0.08
17,69.94526260469588,53.86241084373802,189.21001822816814,74.69778520633012,58.78326807266627,187.2296126928085,0.085
18,69.51047263116193,53.25472011449147,180.6194635870998,72.85534980969551,56.74844125600961,178.96565442207532,0.09
19,70.3431001440879,53.9187852122301,172.88752596802507,76.43436294946915,59.53946274977464,177.84105193309296,0.095
20,69.98678490574375,53.49504749321499,164.9173714105337,74.719240237505,58.637093177208534,160.8214612129407,0.1
21,69.51952867566442,52.96018045811565,157.70808644675037,76.01345825195312,59.44393060146234,157.8050302358774,0.105
22,69.93873451092492,53.29571079183941,151.3002168620291,72.63001427283653,56.08343975360577,150.42339774889822,0.11
23,69.23337447277608,52.60322596544137,144.60998507072588,73.6735589443109,57.53661131247496,140.32127810747195,0.115
24,69.58030344957223,52.861455578014166,139.3237340260137,71.50283813476562,54.95611924391527,137.88932604667468,0.12
25,69.04487502209248,52.35144824630644,133.54741495518596,73.87658300155249,57.342485868013824,132.27277080829327,0.125
26,69.06028663307612,52.2770649494569,129.10170591389473,75.17684467022235,58.30886958195613,129.753664456881,0.13
27,69.27819211058821,52.42713982049673,124.82260356505225,77.77807225936499,60.86489633413461,125.28277900891426,0.135
28,68.44558009048181,51.497265376927665,121.05939038984614,77.2230224609375,60.11815858498598,122.17760134965945,0.14
29,69.5066343904273,52.48958049376318,117.3589955897419,72.10317954038962,55.36115127954728,115.46226853590746,0.145
30,68.29932983960111,51.232653682217276,113.77783685227844,72.31510690542368,55.35026550292969,113.09894737830528,0.15
31,66.1053072689501,49.03725091665069,110.1164881232326,68.92105611165364,51.92138241498898,109.67531174879808,0.155
32,65.91665008170473,48.69315136868529,107.64686912115366,69.63375619741586,52.84745632073818,104.91437550080128,0.16
33,65.9298888130422,48.4919087930691,105.68472261955402,69.55335059532753,52.436194004156654,103.74034314277844,0.165
34,66.01281878699554,48.40568605668706,103.571368445648,70.06199606870993,52.74181229028947,101.88343224158653,0.17
35,66.72428568740564,48.899439993080186,101.8562639856631,71.32721886268028,53.21662863706931,103.48908331455328,0.175
36,67.62032959358824,49.64083918472009,99.88605293320732,71.3154066036909,53.22918231670673,100.47902268629808,0.18
37,67.42111089039435,49.29001537861268,98.00591947403421,70.25591141138321,52.13642726800381,97.94315514197716,0.185
38,66.18397404957403,47.85559355846943,96.46516282719337,70.18631020570413,52.08722510704627,95.25834538386418,0.19
39,66.418153821325,47.88417305975604,95.0460600121621,70.489990625626,52.236840272561096,93.6059069511218,0.195
40,66.59292742957366,47.896328510682274,93.4829928158251,69.88522025866386,51.38964256873498,92.47788258087941,0.2
41,66.75604556967144,47.84316724063429,92.25794407195109,70.50948118552184,51.67660874586839,91.86767734625401,0.205
42,67.13417750633567,47.999231373605554,91.11879660015457,70.64552659254808,51.62773171449319,90.56092638847156,0.21
43,67.40957646282173,48.12614220929292,89.69039041718091,71.5895248804337,52.47608439127604,88.89972197703825,0.215
44,67.07385810898857,47.58819612842396,88.57119245470668,70.54853077423878,51.26575646033654,87.6489739051232,0.22
