epoch,total_loss,bce,kld,val_loss,val_bce,val_kld,beta
1,10077.466239695168,10072.705976802148,9520.602058176613,9864.361929086539,9862.333233173076,4057.537785456731,0.0005
2,9624.352167609279,9620.133795053682,4218.368071199195,9547.92913661859,9543.82311698718,4106.049303886218,0.001
3,9526.062847488496,9520.54748610046,3676.9189782639955,9555.63837139423,9549.44360977564,4129.751928084936,0.0015
4,9482.641092312117,9476.0495530579,3295.767083852569,9474.02173477564,9467.619591346154,3201.0438952323716,0.002
5,9456.113011646856,9448.623382381134,2995.8566729773775,9525.395132211539,9518.61047676282,2713.883764022436,0.0025
6,9439.276025690184,9431.195222632285,2693.598009729678,9441.353665865385,9434.801482371795,2184.089380508814,0.003
7,9423.387773197852,9415.69751126342,2197.2277405159607,9424.647235576924,9417.481971153846,2047.182416866987,0.0034999999999999996
8,9417.426961512654,9409.269333541028,2039.4188966341546,9407.259665464744,9399.20868389423,2012.7428260216345,0.004
9,9409.417363640721,9401.512869056749,1756.557763971434,9417.179837740385,9409.165364583334,1780.9778896233975,0.0045000000000000005
10,9404.697894699004,9396.123202645706,1714.942305676045,9478.112079326924,9467.576622596154,2107.122082832532,0.005
11,9397.599741180982,9388.88287241181,1584.8884958840586,9410.845002003205,9401.344451121795,1727.343048878205,0.0055000000000000005
12,9393.120296922929,9384.589436349694,1421.8054858248659,9415.60912459936,9407.75811298077,1308.4891639122595,0.006
13,9388.948499808283,9380.208163583206,1344.6706333277416,9389.674579326924,9381.151993189103,1311.1695963541667,0.006500000000000001
14,9382.802578604294,9374.091844804449,1244.3897982170245,9400.434545272436,9392.441506410256,1141.8715131710737,0.006999999999999999
15,9407.933647670628,9397.53973950345,1385.8595262773197,9403.959885817309,9393.439803685897,1402.677020733173,0.0075
16,9383.110675086273,9373.36486891296,1218.2249463789303,9390.755208333334,9381.231971153846,1190.4008288261218,0.008
17,9377.73693922546,9368.40240366181,1098.1836525384633,9379.445713141025,9370.69165665064,1029.889898838141,0.0085
18,9377.268039445935,9367.829616804065,1048.7180816088717,9367.57366786859,9358.575170272436,999.8449206229968,0.009000000000000001
19,9370.454982266105,9361.356499233128,957.7372035863209,9366.126452323719,9357.02819511218,957.7207156450321,0.0095
20,9371.226490605828,9362.001180262654,922.5353127696031,9380.885667067309,9371.82366786859,906.1878505608975,0.01
21,9367.62157903566,9358.627887749233,899.3662948140337,9355.722856570514,9347.02874599359,869.4145695612981,0.01
22,9364.535797306366,9356.11950009586,841.6300928782832,9361.196864983975,9352.464443108975,873.2387820512821,0.01
23,9364.675373849694,9356.320048888037,835.5364076579275,9359.679887820514,9351.034154647436,864.5616048177084,0.01
24,9359.329760592407,9351.332654332822,799.7098852988402,9356.16235977564,9348.251302083334,791.1254695012019,0.01
25,9357.603431748466,9349.616654284893,798.6798058258244,9353.431740785256,9345.30694110577,812.4817958733975,0.01
26,9356.015571079372,9348.273832917945,774.1695459283934,9357.404647435897,9349.547576121795,785.7266501402244,0.01
27,9354.944869152607,9347.255416027607,768.9472925853145,9351.279947916666,9343.388671875,789.1244178185096,0.01
28,9353.035533694401,9345.558090490798,747.7403130092504,9348.875350560897,9340.978715945514,789.6728265224359,0.01
29,9350.454113544862,9343.132764570551,732.132113778518,9375.883563701924,9368.306590544871,757.7016100761218,0.01
30,9357.391559624233,9349.849010256901,754.2584820144747,9348.475310496795,9340.739633413461,773.567626953125,0.01
31,9352.259603863113,9344.783718366565,747.5932055514282,9348.224759615385,9340.997846554486,722.6871212690304,0.01
32,9345.105678441334,9337.957187020706,714.853326902799,9365.841596554486,9358.32451923077,751.6998384915865,0.01
33,9345.700632668711,9338.598638803682,710.2006809726083,9343.652443910256,9336.69085536859,696.1590544871794,0.01
34,9342.43450440951,9335.505847392638,692.863580809049,9339.091095753205,9332.05053084936,704.0426682692307,0.01
35,9340.458397239263,9333.60273078029,685.5706098123562,9340.48071915064,9333.590244391025,689.0303579477163,0.01
36,9340.26038271664,9333.462836704372,679.7543668220379,9343.862229567309,9336.884715544871,697.7507887620193,0.01
37,9339.312326255751,9332.592659605061,671.9643247639475,9352.19836738782,9345.38171073718,681.6847080328525,0.01
38,9339.062841497316,9332.282657927532,678.0141444294,9338.194260817309,9331.413161057691,678.1105581430288,0.01
39,9338.700698571702,9331.938494536043,676.2243858290597,9348.22766426282,9341.518579727564,670.9196213942307,0.01
40,9337.851179064417,9331.130116468557,672.1079970283743,9340.12224559295,9333.447215544871,667.4917962489984,0.01
41,9330.030369296395,9323.472248849694,655.8125142290548,9330.87970753205,9324.315204326924,656.4445080879407,0.01
42,9327.10198787385,9320.71624568635,638.5752885502541,9327.95758213141,9321.58258213141,637.4903689653446,0.01
43,9326.226796156057,9319.899300230061,632.7459585739791,9326.87274639423,9320.490985576924,638.177712464944,0.01
44,9326.014294957822,9319.760706240415,625.352910141272,9331.33844150641,9325.005208333334,633.3253580729166,0.01
45,9325.04082989839,9318.806377013037,623.4460437985285,9339.760116185897,9333.478866185897,628.1128743489584,0.01
46,9326.702777511504,9320.458666842407,624.4134618841066,9333.08228165064,9326.776292067309,630.5912960737179,0.01
47,9326.146598207439,9319.870578508435,627.6068242546971,9329.739483173076,9323.398537660256,634.0874461638622,0.01
48,9323.678728911043,9317.444545628834,623.4130320168712,9334.426382211539,9328.044821714744,638.1371632111378,0.01
49,9324.262725268405,9318.022898293711,623.9822009502013,9332.578525641025,9326.291616586539,628.6876752804487,0.01
50,9319.55951040069,9313.350819593557,620.8690709775211,9323.64873798077,9317.491185897436,615.7464098808093,0.01
